Charge equilibration on step 10
  iteration: 0, enegtot 4.54038, enegmax 0.117614, fq deviation: 0.00895239
  iteration: 1, enegtot 4.54032, enegmax 0.100816, fq deviation: 0.0060903
  iteration: 2, enegtot 4.54024, enegmax 0.0747625, fq deviation: 0.00477111
  iteration: 3, enegtot 4.54017, enegmax 0.0544704, fq deviation: 0.00784433
  iteration: 4, enegtot 4.54014, enegmax 0.0689841, fq deviation: 0.00906177
  iteration: 5, enegtot 4.54016, enegmax 0.0707179, fq deviation: 0.00789781
  iteration: 6, enegtot 4.54023, enegmax 0.0614422, fq deviation: 0.00511526
  iteration: 7, enegtot 4.54032, enegmax 0.0466543, fq deviation: 0.00658464
  iteration: 8, enegtot 4.54041, enegmax 0.0510361, fq deviation: 0.00733027
  iteration: 9, enegtot 4.54048, enegmax 0.0538061, fq deviation: 0.00681618
  iteration: 10, enegtot 4.54053, enegmax 0.0497273, fq deviation: 0.00504297
  iteration: 11, enegtot 4.54056, enegmax 0.0409593, fq deviation: 0.00525211
  iteration: 12, enegtot 4.54058, enegmax 0.0313602, fq deviation: 0.00655098
  iteration: 13, enegtot 4.54061, enegmax 0.0334761, fq deviation: 0.00671536
  iteration: 14, enegtot 4.54066, enegmax 0.0320266, fq deviation: 0.00560019
  iteration: 15, enegtot 4.54072, enegmax 0.0271448, fq deviation: 0.00537948
  iteration: 16, enegtot 4.54079, enegmax 0.0276639, fq deviation: 0.00598044
  iteration: 17, enegtot 4.54084, enegmax 0.0307479, fq deviation: 0.00636335
  iteration: 18, enegtot 4.54089, enegmax 0.0315214, fq deviation: 0.00566495
  iteration: 19, enegtot 4.54091, enegmax 0.0324144, fq deviation: 0.00527511
  iteration: 20, enegtot 4.54093, enegmax 0.0316943, fq deviation: 0.00590591
  iteration: 21, enegtot 4.54095, enegmax 0.0318981, fq deviation: 0.00625558
  iteration: 22, enegtot 4.54096, enegmax 0.0347454, fq deviation: 0.00589223
  iteration: 23, enegtot 4.54099, enegmax 0.0355572, fq deviation: 0.00570552
  iteration: 24, enegtot 4.54101, enegmax 0.0372546, fq deviation: 0.00600222
  iteration: 25, enegtot 4.54104, enegmax 0.041121, fq deviation: 0.00633318
  iteration: 26, enegtot 4.54106, enegmax 0.0440988, fq deviation: 0.0061959
  iteration: 27, enegtot 4.54108, enegmax 0.0456172, fq deviation: 0.00621707
  iteration: 28, enegtot 4.54109, enegmax 0.0458527, fq deviation: 0.00647459
  iteration: 29, enegtot 4.5411, enegmax 0.045554, fq deviation: 0.0067218
  iteration: 30, enegtot 4.54111, enegmax 0.0456217, fq deviation: 0.0067608
  iteration: 31, enegtot 4.54112, enegmax 0.0466736, fq deviation: 0.00679139
  iteration: 32, enegtot 4.54114, enegmax 0.0488044, fq deviation: 0.0070097
  iteration: 33, enegtot 4.54117, enegmax 0.0516253, fq deviation: 0.00726639
  iteration: 34, enegtot 4.5412, enegmax 0.0548416, fq deviation: 0.00758323
  iteration: 35, enegtot 4.54122, enegmax 0.0587154, fq deviation: 0.00793237
  iteration: 36, enegtot 4.54125, enegmax 0.0619241, fq deviation: 0.00810428
  iteration: 37, enegtot 4.54129, enegmax 0.0655286, fq deviation: 0.00809459
  iteration: 38, enegtot 4.54132, enegmax 0.0708406, fq deviation: 0.00822971
  iteration: 39, enegtot 4.54137, enegmax 0.0759807, fq deviation: 0.0087212
  iteration: 40, enegtot 4.54142, enegmax 0.0807363, fq deviation: 0.00926572
  iteration: 41, enegtot 4.54148, enegmax 0.0851867, fq deviation: 0.00964909
  iteration: 42, enegtot 4.54155, enegmax 0.0896318, fq deviation: 0.00987434
  iteration: 43, enegtot 4.54163, enegmax 0.0944251, fq deviation: 0.0101595
  iteration: 44, enegtot 4.54171, enegmax 0.0998044, fq deviation: 0.0104865
  iteration: 45, enegtot 4.54181, enegmax 0.1058, fq deviation: 0.0111819
  iteration: 46, enegtot 4.54191, enegmax 0.112258, fq deviation: 0.0118056
  iteration: 47, enegtot 4.54203, enegmax 0.118948, fq deviation: 0.0122649
  iteration: 48, enegtot 4.54215, enegmax 0.125697, fq deviation: 0.0127284
  iteration: 49, enegtot 4.5423, enegmax 0.13248, fq deviation: 0.0134249
  iteration: 50, enegtot 4.54246, enegmax 0.139426, fq deviation: 0.0142014
  iteration: 51, enegtot 4.54263, enegmax 0.146751, fq deviation: 0.0149527
  iteration: 52, enegtot 4.54283, enegmax 0.154656, fq deviation: 0.0155438
  iteration: 53, enegtot 4.54304, enegmax 0.163247, fq deviation: 0.0161722
  iteration: 54, enegtot 4.54328, enegmax 0.172513, fq deviation: 0.017036
  iteration: 55, enegtot 4.54354, enegmax 0.18236, fq deviation: 0.0180372
  iteration: 56, enegtot 4.54382, enegmax 0.192691, fq deviation: 0.0189006
